Distance1	sample1000509	sample1000512	sample1000516	sample1000517	sample1000519	sample1000521	sample1000529	sample1000530	sample1000541	sample1000543	sample20442	sample20444	sample20445	sample20446	sample222	sample230	sample2307	sample2319	sample2323	sample2334	sample2336	sample2338	sample2340	sample2349	sample2351	sample2361	sample2362	sample2373	sample2374	sample2385	sample2387	sample2398	sample2399	sample280	sample285	sample32010	sample32014	sample32023	sample32024	sample32034	sample32035	sample32045	sample32046	sample32058	sample32059	sample32060	sample32061	sample32062	sample32063	sample32071	sample32072	sample32084	sample32085	sample32095	sample32098	sample35206	sample35211	sample35217	sample35218	sample35225	sample35228	sample35230	sample35231	sample35239	sample35240	sample35241	sample35242	sample35243	sample35244	sample35263	sample35265	sample35275	sample35279	sample35287	sample35288	sample35296	sample35297
sample35218	0.0569395	0.0546603	0.0457746	0.0490566	0.0477882	0.0474939	0.0373711	0.0372517	0.057047	0.0586538	0.0457046	0.03125	0.0437533	0.0359768	0.041817	0.036919	0.0492548	0.0490293	0.0483316	0.0412406	0.035407	0.0607441	0.0551443	0.0318718	0.0424287	0.0546496	0.0621516	0.0405844	0.0333866	0.0580873	0.0416019	0.058262	0.0586229	0.044113	0.0470968	0.0271949	0.0438871	0.0438017	0.0476573	0.0454095	0.0477798	0.0438228	0.0377328	0.0459053	0.0437416	0.0481759	0.0474347	0.0457803	0.0430873	0.0423895	0.0352136	0.040083	0.0482991	0.03568	0.038961	0.0391178	0.031625	0.0156913	0	0.0478788	0.0452666	0.045289	0.0519308	0.0600962	0.0369863	0.0610687	0.0508972	0.0523218	0.0568259	0.0444225	0.0409367	0.04016	0.0347271	0.0359877	0.0368441	0.0409372	0.0367965
sample35225	0.0468241	0.0422734	0.0459318	0.0527066	0.0537701	0.0484811	0.0506413	0.0489583	0.0440185	0.0468119	0.0467609	0.0386484	0.0489071	0.0415424	0.0451128	0.0413043	0.0375271	0.0385885	0.039375	0.0498311	0.0485075	0.0428696	0.0445545	0.0458404	0.050152	0.0416266	0.0485748	0.0483668	0.05047	0.0484653	0.0463087	0.0438487	0.0468814	0.0464548	0.0488907	0.0409277	0.0413241	0.0369919	0.0469005	0.0395654	0.0401092	0.0463384	0.0482255	0.0383158	0.0415994	0.0359922	0.0470277	0.0363875	0.0373103	0.0393717	0.042522	0.0452083	0.0437601	0.0430928	0.0489955	0.0481728	0.0448929	0.0522388	0.0478788	0	0.0370205	0.040534	0.0408965	0.0432099	0.0404229	0.038172	0.0386785	0.0393416	0.0417666	0.0486052	0.0453961	0.0510498	0.0474326	0.042281	0.0415028	0.046332	0.0461023
sample35228	0.0483735	0.0438682	0.0443201	0.0552532	0.0546976	0.0449625	0.0521445	0.0526998	0.0468476	0.0532718	0.0496113	0.0411843	0.0443963	0.0344298	0.0464117	0.0457278	0.0434783	0.0386555	0.0368644	0.0558965	0.0503893	0.0461538	0.0485437	0.045045	0.0519509	0.0429478	0.0462185	0.0488606	0.0486406	0.0472917	0.0483871	0.0500431	0.0460693	0.046875	0.0507216	0.037173	0.0370933	0.0399071	0.0378756	0.0415612	0.0379991	0.0493879	0.0480017	0.0435059	0.0379927	0.0352284	0.04049	0.0356044	0.0350877	0.0411219	0.046848	0.0510949	0.0435054	0.0455718	0.0518345	0.050557	0.0452969	0.0491585	0.0452666	0.0370205	0	0.0404113	0.0429779	0.0437678	0.0465904	0.0432231	0.0421291	0.0459492	0.0438808	0.0518373	0.0506357	0.0465166	0.0506189	0.0443038	0.0450588	0.050565	0.0467862
sample35230	0.0575454	0.048062	0.0446053	0.0548266	0.0559575	0.0460766	0.0468521	0.0476529	0.0541401	0.0590888	0.0301091	0.035109	0.033427	0.0332218	0.0416467	0.0396341	0.0488703	0.0528338	0.0429268	0.0474699	0.0428776	0.0542843	0.0542674	0.0356976	0.0467836	0.0492063	0.0495841	0.0429875	0.0447269	0.0576653	0.040399	0.0543689	0.0582778	0.0380711	0.0427708	0.0316049	0.0430703	0.0438596	0.0512698	0.0475852	0.0448625	0.0418052	0.0430495	0.0451128	0.0401119	0.040832	0.0506901	0.0414244	0.0389151	0.0500237	0.0418251	0.0459063	0.0503563	0.042898	0.0467268	0.0487106	0.0453216	0.0424322	0.045289	0.040534	0.0404113	0	0.0420768	0.0410305	0.0388553	0.0429025	0.0440631	0.0537037	0.0481465	0.0486111	0.039961	0.0420583	0.044586	0.0285648	0.03463	0.033969	0.0376106
sample35231	0.0342129	0.0279023	0.0452703	0.0547734	0.0509698	0.0454545	0.0607748	0.0583218	0.0336191	0.0395952	0.0460894	0.0449255	0.0452539	0.0410174	0.0486585	0.0431901	0.0479	0.0485194	0.0485075	0.0600748	0.0575573	0.035286	0.0354167	0.0475207	0.0592698	0.0304632	0.0288578	0.0504863	0.0524899	0.0380387	0.0480116	0.0375671	0.0397601	0.0468326	0.0512937	0.0444659	0.0474784	0.0465275	0.0506128	0.0483797	0.0412466	0.0576748	0.0539917	0.0480726	0.0437195	0.0410786	0.051693	0.0447231	0.0450471	0.0522252	0.0546549	0.0599268	0.0489352	0.0553514	0.0570195	0.0537362	0.0565462	0.0585344	0.0519308	0.0408965	0.0429779	0.0420768	0	0.0407197	0.051404	0.0319038	0.0393478	0.0363676	0.039524	0.0527164	0.0485782	0.0581605	0.0518981	0.0415901	0.0400463	0.0450346	0.0478097
sample35239	0.0409441	0.0333979	0.0487572	0.0545541	0.0572407	0.048511	0.0528942	0.0538312	0.0384246	0.0472973	0.0441609	0.0404738	0.0393701	0.0430784	0.0484359	0.0448902	0.0462963	0.0552268	0.0492958	0.0649158	0.065	0.0454115	0.0370544	0.0580709	0.0643979	0.0338235	0.0370968	0.05667	0.0558882	0.0412322	0.0471331	0.0408654	0.0426945	0.0444225	0.0481629	0.0469484	0.0495627	0.0502488	0.0545635	0.0543478	0.0532544	0.0554446	0.0546092	0.0485437	0.0556641	0.0447036	0.0608696	0.0402913	0.0466019	0.0513327	0.0526047	0.0651951	0.0553379	0.0534466	0.0562685	0.0585216	0.0598802	0.053653	0.0600962	0.0432099	0.0437678	0.0410305	0.0407197	0	0.0542522	0.010241	0.0141941	0.0174528	0.0207182	0.0561173	0.047619	0.055996	0.060576	0.0406464	0.0442436	0.0447368	0.0472081
sample35240	0.0545331	0.0523125	0.0421326	0.046916	0.0465077	0.0407648	0.032037	0.030564	0.0534521	0.0574503	0.044789	0.037346	0.0430802	0.0394892	0.0423729	0.0367113	0.0485564	0.0480439	0.0431946	0.0385157	0.0400477	0.0557715	0.0545593	0.0357413	0.0411546	0.0541087	0.055145	0.0434268	0.041708	0.0544992	0.0396354	0.0537062	0.0568105	0.0423447	0.0446309	0.0369027	0.0423762	0.0408794	0.0445594	0.043426	0.045239	0.0413735	0.0400407	0.0498282	0.0444637	0.0486767	0.0471099	0.0463833	0.0471661	0.0436548	0.0379228	0.038526	0.0479452	0.036266	0.0409475	0.0448782	0.0374412	0.0454545	0.0369863	0.0404229	0.0465904	0.0388553	0.051404	0.0542522	0	0.0593682	0.0523504	0.0518756	0.0526223	0.043941	0.0390896	0.0445955	0.0345139	0.0362934	0.0370943	0.0397554	0.039396
sample35241	0.0402361	0.0349206	0.0528587	0.0522307	0.0545755	0.0543956	0.0561674	0.059956	0.033264	0.044086	0.0421225	0.0496141	0.0526894	0.0453109	0.0515521	0.0488842	0.0455508	0.0528322	0.0449069	0.0635359	0.060221	0.0383001	0.0328125	0.056541	0.0633562	0.0342612	0.0343023	0.0643016	0.0575221	0.0432292	0.0519481	0.0409924	0.0389126	0.0448578	0.0492802	0.0465608	0.0467391	0.0491803	0.0490731	0.0545455	0.0481602	0.0572057	0.0570801	0.0483696	0.0485278	0.0422613	0.0501584	0.039185	0.0370172	0.0519481	0.0580752	0.0675676	0.0504338	0.0577778	0.0588235	0.0563781	0.0622271	0.0547945	0.0610687	0.038172	0.0432231	0.0429025	0.0319038	0.010241	0.0593682	0	0.00918367	0.0139485	0.0134855	0.0574136	0.0539216	0.0576087	0.0651934	0.0391832	0.0463468	0.0505682	0.0507328
sample35242	0.0332356	0.0315028	0.0458481	0.0456175	0.0483011	0.0475934	0.0522218	0.0527854	0.030799	0.0326122	0.0475084	0.0434096	0.0441176	0.0397133	0.0447838	0.0457376	0.043138	0.040309	0.0391244	0.0531694	0.0506676	0.0325923	0.0302809	0.0491241	0.0607926	0.0326644	0.0336617	0.0499323	0.0479091	0.0337904	0.0516836	0.0341709	0.0320366	0.0411455	0.0456037	0.0457488	0.0416013	0.0413724	0.0446662	0.0428378	0.0431219	0.0503166	0.0461746	0.0409378	0.0436116	0.0425035	0.0459486	0.03784	0.034334	0.0393165	0.0517942	0.0536856	0.0433421	0.0501002	0.0524476	0.0522538	0.0501181	0.0567376	0.0508972	0.0386785	0.0421291	0.0440631	0.0393478	0.0141941	0.0523504	0.00918367	0	0.0131454	0.0121477	0.0504587	0.0448696	0.0518433	0.0532697	0.0411515	0.044685	0.0491071	0.0454391
sample35243	0.0325427	0.0335711	0.0513894	0.0485064	0.0493187	0.0476673	0.053442	0.0564542	0.0332678	0.0321562	0.0485619	0.0460087	0.0503482	0.0449827	0.0459718	0.0490345	0.044969	0.0414041	0.0400378	0.0501428	0.0489532	0.0325623	0.0308231	0.0482583	0.0597473	0.0328698	0.0349093	0.0492073	0.0514597	0.0334686	0.0511364	0.0321279	0.0362634	0.0402299	0.0449898	0.0505423	0.0437859	0.0427611	0.0462344	0.0441889	0.0449062	0.0504765	0.0486153	0.0425873	0.0414541	0.045219	0.0409932	0.0412088	0.0415913	0.0425281	0.0504642	0.0537239	0.0431561	0.0502535	0.0512821	0.0531444	0.0519266	0.0644567	0.0523218	0.0393416	0.0459492	0.0537037	0.0363676	0.0174528	0.0518756	0.0139485	0.0131454	0	0.014541	0.0488949	0.0452836	0.0506589	0.0554054	0.0454373	0.0464719	0.0536547	0.0443312
sample35244	0.034411	0.0364026	0.0521624	0.0500475	0.0514538	0.0484037	0.0526316	0.0545672	0.0336505	0.0369489	0.0480132	0.0461721	0.0486586	0.0425697	0.048987	0.0498472	0.0423945	0.0432708	0.0416237	0.0523156	0.0516831	0.0294659	0.0321168	0.0526121	0.0627125	0.0320292	0.0378128	0.0501995	0.0519802	0.0339252	0.0499807	0.0349409	0.0368892	0.0428339	0.046129	0.050431	0.0440835	0.0430805	0.0467684	0.0430397	0.0431882	0.0528215	0.0515688	0.0441389	0.0465546	0.0456642	0.0473872	0.0378518	0.041774	0.0428477	0.0534414	0.0561392	0.0453518	0.0490909	0.0543831	0.0515092	0.0512608	0.0668161	0.0568259	0.0417666	0.0438808	0.0481465	0.039524	0.0207182	0.0526223	0.0134855	0.0121477	0.014541	0	0.0496158	0.0467736	0.0520325	0.0537084	0.0455769	0.0495548	0.0521648	0.0438031
sample35263	0.0439448	0.0531431	0.052494	0.0430604	0.0432404	0.0507853	0.0471438	0.0439498	0.0490104	0.0466375	0.047783	0.0379722	0.0434783	0.0398749	0.0327139	0.0447419	0.0420638	0.0389716	0.0400524	0.0337743	0.0349755	0.0544484	0.0497606	0.0417296	0.0467033	0.0566322	0.0548747	0.0309017	0.0312339	0.0468548	0.037602	0.0468667	0.0472215	0.0379568	0.0377144	0.0442419	0.0519506	0.0414949	0.0392132	0.0388389	0.0457269	0.0312823	0.0313878	0.0496813	0.045542	0.0544168	0.0391882	0.0533058	0.0466718	0.0409139	0.0307052	0.0311072	0.0403576	0.03149	0.0321877	0.0321147	0.032987	0.0519663	0.0444225	0.0486052	0.0518373	0.0486111	0.0527164	0.0561173	0.043941	0.0574136	0.0504587	0.0488949	0.0496158	0	0.0148634	0.0319416	0.0397101	0.0418767	0.0420687	0.0376506	0.0353119
sample35265	0.0441339	0.0509418	0.0487805	0.043407	0.0419482	0.0445083	0.0441486	0.0409811	0.0464427	0.0472091	0.0422106	0.033871	0.0364725	0.0366864	0.0307005	0.0401331	0.0397708	0.0390782	0.0381934	0.0334233	0.0351889	0.0507273	0.0476691	0.0381825	0.0401621	0.0544941	0.0538117	0.0310507	0.0336366	0.0460269	0.035142	0.0449213	0.0444134	0.0329075	0.0333242	0.0378451	0.0463	0.037413	0.0389953	0.0392754	0.042598	0.0310938	0.0308296	0.0486404	0.0434638	0.0522019	0.0376033	0.0465595	0.0459302	0.0402675	0.0288993	0.0302069	0.0403248	0.0298755	0.0319297	0.0303616	0.0355153	0.0482537	0.0409367	0.0453961	0.0506357	0.039961	0.0485782	0.047619	0.0390896	0.0539216	0.0448696	0.0452836	0.0467736	0.0148634	0	0.0333872	0.0376712	0.0368483	0.035489	0.0356601	0.0320233
sample35275	0.0445071	0.0564352	0.0535575	0.0408236	0.0410205	0.0499316	0.0446864	0.0427066	0.0504419	0.0470328	0.0442291	0.0329988	0.0409262	0.0361792	0.0325101	0.0376024	0.0374214	0.0352349	0.0340372	0.0234479	0.0261204	0.0559959	0.0514267	0.0323519	0.0379371	0.0586164	0.061451	0.0264441	0.0286274	0.0471068	0.0355909	0.0472152	0.0454659	0.0364812	0.035867	0.0357759	0.0421359	0.0330988	0.0329723	0.0304622	0.0399696	0.0250432	0.0243237	0.0458348	0.0378086	0.0488328	0.0307953	0.0453822	0.0384047	0.0324297	0.0285218	0.02966	0.031348	0.0278254	0.0268097	0.0288021	0.0295421	0.0436761	0.04016	0.0510498	0.0465166	0.0420583	0.0581605	0.055996	0.0445955	0.0576087	0.0518433	0.0506589	0.0520325	0.0319416	0.0333872	0	0.0255148	0.037037	0.0414291	0.0352183	0.0327302
sample35279	0.0540333	0.056871	0.0495008	0.0439494	0.0428527	0.0440627	0.0363539	0.0309493	0.0551291	0.0563145	0.0437972	0.0352199	0.0467967	0.0356285	0.0405405	0.0406	0.0395936	0.0413923	0.036426	0.026098	0.0249001	0.0580038	0.0529412	0.0233051	0.0332338	0.0604491	0.0600667	0.0327464	0.0310794	0.0533518	0.0365624	0.0520736	0.052032	0.0401786	0.0399025	0.0351339	0.0425135	0.0380922	0.0407667	0.0382325	0.0413209	0.0306029	0.0329397	0.046282	0.0392259	0.0421775	0.0374389	0.0448988	0.0426512	0.0401437	0.0324074	0.0332717	0.0407171	0.0336302	0.0341749	0.0313076	0.0315056	0.0477048	0.0347271	0.0474326	0.0506189	0.044586	0.0518981	0.060576	0.0345139	0.0651934	0.0532697	0.0554054	0.0537084	0.0397101	0.0376712	0.0255148	0	0.037346	0.0374797	0.0401441	0.0365268
sample35287	0.0478927	0.0449541	0.0459891	0.048381	0.0481467	0.0442443	0.046173	0.0459144	0.0465776	0.0506233	0.0319615	0.0299414	0.0346588	0.0319061	0.0365385	0.0339506	0.0437347	0.0445564	0.0399052	0.0409709	0.0356727	0.0514058	0.0468103	0.0350061	0.0411932	0.0496022	0.0496228	0.0392498	0.0401735	0.0474187	0.037037	0.0491037	0.0487945	0.0327314	0.0361605	0.0343996	0.040518	0.0409615	0.0430969	0.0445699	0.0419186	0.0416667	0.0392498	0.0415663	0.0394136	0.0414432	0.0429389	0.0357143	0.0362055	0.0434866	0.0345622	0.0399386	0.0425898	0.0352194	0.039242	0.0388761	0.0412791	0.0435967	0.0359877	0.042281	0.0443038	0.0285648	0.0415901	0.0406464	0.0362934	0.0391832	0.0411515	0.0454373	0.0455769	0.0418767	0.0368483	0.037037	0.037346	0	0.0232093	0.0298548	0.0347385
sample35288	0.0527532	0.0442539	0.047272	0.0509974	0.0507218	0.0485726	0.0423977	0.0452065	0.0465447	0.0545385	0.0302562	0.0310663	0.03403	0.032225	0.0374712	0.0322382	0.0474838	0.0470268	0.0403194	0.0412022	0.039166	0.0538462	0.0494186	0.0385878	0.0401581	0.0476526	0.0481394	0.036836	0.0386677	0.0544762	0.0338629	0.0530125	0.0534278	0.0428898	0.0447217	0.0316871	0.0446999	0.0450117	0.0492849	0.0463978	0.0429782	0.0410376	0.0353009	0.0436118	0.0409424	0.045144	0.0455933	0.0391528	0.0406225	0.0452107	0.0352031	0.0403631	0.0480107	0.0390923	0.0413635	0.0433526	0.0390898	0.0403727	0.0368441	0.0415028	0.0450588	0.03463	0.0400463	0.0442436	0.0370943	0.0463468	0.044685	0.0464719	0.0495548	0.0420687	0.035489	0.0414291	0.0374797	0.0232093	0	0.0313841	0.0335792
sample35296	0.05825	0.0507246	0.047049	0.049456	0.0466667	0.050911	0.0414916	0.0451128	0.0517066	0.0577582	0.0320585	0.0291734	0.032567	0.0364807	0.0351721	0.0324814	0.04411	0.0493354	0.0401346	0.0387557	0.0367868	0.0577025	0.0564223	0.0369458	0.0425936	0.0567416	0.0563094	0.03775	0.0376317	0.0581452	0.0287179	0.0594283	0.0581222	0.0426799	0.0409298	0.034123	0.0443951	0.0425963	0.0451109	0.0448172	0.0456186	0.038695	0.0348196	0.0418904	0.0446009	0.0476905	0.044285	0.0394075	0.0403877	0.0463944	0.0320611	0.0403553	0.0462917	0.0338308	0.0364742	0.0381874	0.0399702	0.0464015	0.0409372	0.046332	0.050565	0.033969	0.0450346	0.0447368	0.0397554	0.0505682	0.0491071	0.0536547	0.0521648	0.0376506	0.0356601	0.0352183	0.0401441	0.0298548	0.0313841	0	0.0257243
sample35297	0.0473613	0.0513727	0.0493328	0.043855	0.041989	0.0476019	0.0416811	0.0384845	0.047954	0.0492312	0.0384615	0.0243902	0.032769	0.0303266	0.030859	0.032617	0.0374875	0.0378378	0.0352574	0.0353931	0.0345752	0.0498749	0.0515996	0.037931	0.0447214	0.0567209	0.0538972	0.0306815	0.0306482	0.0473985	0.012478	0.0459482	0.0469051	0.0392371	0.0356282	0.0347439	0.0435929	0.0325077	0.0360506	0.0357749	0.039022	0.0345395	0.0295411	0.043175	0.039108	0.0489424	0.0348681	0.041991	0.0405146	0.0374065	0.0292406	0.0322406	0.0348869	0.0298772	0.0295721	0.0311316	0.0327357	0.0466981	0.0367965	0.0461023	0.0467862	0.0376106	0.0478097	0.0472081	0.039396	0.0507328	0.0454391	0.0443312	0.0438031	0.0353119	0.0320233	0.0327302	0.0365268	0.0347385	0.0335792	0.0257243	0
