DNASample	Genus	Species	Population	Basin	Basi2
5136	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
5137	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
5138	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
5139	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
5140	Eichhornia	crassipes	P7TO___Rio_Araguaia_Bananal_Caseara_TO	Araguaia	Araguaia_P7TO___Rio_Arag
5151	Eichhornia	crassipes	P1___MT_Teles_Pires___Sinop_MT	Teles_Pires	Teles_Pires_P1___MT_Teles_P
5155	Eichhornia	crassipes	P1___MT_Teles_Pires___Sinop_MT	Teles_Pires	Teles_Pires_P1___MT_Teles_P
5157	Eichhornia	crassipes	P2_MT_Ponto_da_Balsa___Itauba_(E._crassipes)	Teles_Pires	Teles_Pires_P2_MT_Ponto_da_
5158	Eichhornia	crassipes	P2_MT_Ponto_da_Balsa___Itauba_(E._crassipes)	Teles_Pires	Teles_Pires_P2_MT_Ponto_da_
5163	Eichhornia	crassipes	P3_MT_Ponto_Lagoa_Sr._Aurelio_(E._crassipes)	Teles_Pires	Teles_Pires_P3_MT_Ponto_Lag
5166	Eichhornia	crassipes	P3_MT_Ponto_Lagoa_Sr._Aurelio_(E._crassipes)	Teles_Pires	Teles_Pires_P3_MT_Ponto_Lag
5167	Eichhornia	crassipes	P4_MT_Ponto_Bisteca___Alta_Floresta_(E._crassipes)	Teles_Pires	Teles_Pires_P4_MT_Ponto_Bis
5168	Eichhornia	crassipes	P4_MT_Ponto_Bisteca___Alta_Floresta_(E._crassipes)	Teles_Pires	Teles_Pires_P4_MT_Ponto_Bis
5169	Eichhornia	crassipes	P5_MT_Ponto_Rio_Santa_Helena_Paranaita_(E._crassipes)	Teles_Pires	Teles_Pires_P5_MT_Ponto_Rio
5172	Eichhornia	crassipes	P5_MT_Ponto_Rio_Santa_Helena_Paranaita_(E._crassipes)	Teles_Pires	Teles_Pires_P5_MT_Ponto_Rio
5176	Eichhornia	crassipes	P6_MT_Ponto_Balsa_Nonato_Rio_Teles_Pires_Paranata_(E._crassipes)	Teles_Pires	Teles_Pires_P6_MT_Ponto_Bal
5178	Eichhornia	crassipes	P6_MT_Ponto_Balsa_Nonato_Rio_Teles_Pires_Paranata_(E._crassipes)	Teles_Pires	Teles_Pires_P6_MT_Ponto_Bal
5181	Eichhornia	crassipes	P7_MT_Rio_Teles_Pires_Sinop_2	Teles_Pires	Teles_Pires_P7_MT_Rio_Teles
5185	Eichhornia	crassipes	P7_MT_Rio_Teles_Pires_Sinop_2	Teles_Pires	Teles_Pires_P7_MT_Rio_Teles
5187	Eichhornia	crassipes	P8_MT_Rio_Teles_Pires___Brizola	Teles_Pires	Teles_Pires_P8_MT_Rio_Teles
5190	Eichhornia	crassipes	P8_MT_Rio_Teles_Pires___Brizola	Teles_Pires	Teles_Pires_P8_MT_Rio_Teles
