Distance1	sample1000503	sample1000507	sample1000515	sample1000522	sample1000524	sample1000525	sample1000526	sample1000527	sample1000535	sample1000539	sample1000546	sample1000549	sample215	sample216	sample225	sample226	sample228	sample229	sample2304	sample2314	sample2317	sample2325	sample2326	sample2346	sample2347	sample2359	sample2360	sample2368	sample2369	sample2379	sample2380	sample2391	sample2392	sample277	sample279	sample32005	sample32007	sample32017	sample32018	sample32031	sample32032	sample32041	sample32051	sample32053	sample32054	sample32056	sample32066	sample32067	sample32077	sample32078	sample32090	sample32091	sample35202	sample35204	sample35219	sample35221	sample35235	sample35236	sample35237	sample35245	sample35246	sample35248	sample35251	sample35254	sample35255	sample35257	sample35259	sample35273	sample35274	sample35284
sample1000503	0	0.00388749	0.0449512	0.0711914	0.0489045	0.0415767	0.0697538	0.0456102	0.0486674	0.0497523	0.0441542	0.043713	0.0486191	0.0485179	0.0539765	0.0580948	0.0555046	0.0530051	0.0524194	0.0445223	0.0466059	0.0470526	0.062341	0.0498739	0.0458692	0.04677	0.0501845	0.0457701	0.045513	0.0503513	0.0489097	0.0429728	0.0468261	0.0453297	0.0523881	0.0516203	0.0519878	0.0507228	0.0518898	0.0465674	0.047399	0.0503679	0.0559299	0.0479555	0.0504742	0.0500208	0.0522256	0.0470032	0.0509397	0.0512725	0.051979	0.045283	0.052498	0.0514781	0.0539953	0.0518063	0.0521845	0.0530986	0.0563135	0.057904	0.0522948	0.0524746	0.0582472	0.0549121	0.0565621	0.05764	0.0481946	0.0454941	0.0496094	0.0531743
sample1000507	0.00388749	0	0.0450365	0.072972	0.0490762	0.0420708	0.0710872	0.0464456	0.0471879	0.0471469	0.0430337	0.0412452	0.0482105	0.0476138	0.0537998	0.05629	0.0550884	0.0535458	0.0487409	0.0439668	0.0446855	0.0469912	0.058382	0.0508974	0.0428289	0.0473985	0.0491361	0.0452834	0.0450501	0.04912	0.047766	0.0409101	0.0458848	0.0447346	0.0467039	0.0510204	0.0505646	0.0474371	0.0515668	0.0447102	0.0465493	0.0474127	0.0551862	0.0488927	0.0509793	0.0524079	0.0495419	0.0446429	0.0480363	0.0477355	0.0500744	0.0438122	0.0538345	0.0478548	0.0533527	0.0503459	0.0517707	0.0533316	0.0559451	0.0577337	0.0510517	0.0521151	0.0589986	0.0539851	0.0560139	0.0560368	0.0480713	0.0470541	0.0454651	0.0531618
sample1000515	0.0449512	0.0450365	0	0.0667634	0.047497	0.0433061	0.0706776	0.0430637	0.0461083	0.045436	0.0415317	0.0408311	0.0490224	0.0468449	0.0518293	0.0515666	0.0491902	0.0514422	0.0548002	0.0450557	0.0497613	0.0452756	0.0651607	0.0474521	0.0450192	0.0462065	0.047892	0.0462608	0.0443578	0.0453192	0.0485556	0.0417488	0.0441176	0.0444757	0.0493173	0.0454419	0.0531858	0.0507122	0.0518823	0.0479858	0.0484313	0.0498498	0.0625561	0.0506517	0.0498809	0.0550459	0.0483298	0.0492415	0.0456238	0.0484742	0.050095	0.0443068	0.0490421	0.0508556	0.0518852	0.0522825	0.0540588	0.0502725	0.0509534	0.0573516	0.0547429	0.048488	0.0577404	0.0514113	0.0546144	0.0521288	0.0465361	0.0483193	0.0493705	0.0492958
sample1000522	0.0711914	0.072972	0.0667634	0	0.0683603	0.0645933	0.073014	0.0627428	0.0660161	0.0658149	0.0649677	0.0661926	0.068076	0.0732805	0.0722243	0.0696742	0.0719667	0.0733545	0.0667825	0.0673491	0.072536	0.0646214	0.0704163	0.0633031	0.0696454	0.0709615	0.0708922	0.0699199	0.0734253	0.0703719	0.0721291	0.0647535	0.0664214	0.068461	0.0695575	0.0712894	0.0757576	0.0772194	0.0786823	0.0720572	0.0722619	0.0731802	0.0775428	0.0727381	0.0709473	0.0729624	0.0759884	0.0723542	0.0740072	0.078456	0.0755331	0.0726786	0.0703371	0.0758234	0.0803419	0.068394	0.0710324	0.0698904	0.0706478	0.0817547	0.0761589	0.0760085	0.0770906	0.079291	0.0794416	0.0728456	0.0670247	0.0678941	0.0720604	0.0645226
sample1000524	0.0489045	0.0490762	0.047497	0.0683603	0	0.00833629	0.0689046	0.0411094	0.0460811	0.0429146	0.047915	0.0494127	0.0519853	0.0567642	0.0496942	0.0492692	0.0474173	0.047619	0.0485685	0.0497667	0.051045	0.0511953	0.0640681	0.0503494	0.0515484	0.0426829	0.0457474	0.0558386	0.0498	0.0566535	0.0515772	0.0450079	0.04465	0.05	0.0523004	0.0473705	0.056781	0.0608803	0.0563103	0.0561122	0.0543033	0.0539916	0.0480212	0.0507304	0.0526868	0.0523763	0.0580888	0.0562038	0.0553132	0.0582313	0.0569268	0.0537485	0.0526066	0.0562624	0.0506224	0.0467902	0.0462202	0.0502542	0.0478047	0.0524425	0.05031	0.04817	0.0510964	0.0496406	0.0546988	0.0578106	0.0541614	0.0521346	0.0545165	0.0504866
sample1000525	0.0415767	0.0420708	0.0433061	0.0645933	0.00833629	0	0.0656977	0.041884	0.0469914	0.0475896	0.0394548	0.0381566	0.042532	0.0487593	0.0505255	0.0542064	0.0512511	0.0494539	0.0467463	0.0436258	0.0463504	0.0492035	0.0636057	0.046698	0.042574	0.0440206	0.0453363	0.045177	0.0430282	0.0489166	0.0449195	0.0381356	0.0386855	0.042589	0.046988	0.0481397	0.052324	0.05139	0.0538462	0.0493631	0.0484447	0.0481276	0.0530201	0.048157	0.0514372	0.0517739	0.0499878	0.0458526	0.0471607	0.0487629	0.0514724	0.0458323	0.0477646	0.0488195	0.0498816	0.0462053	0.04851	0.0474534	0.0480495	0.0572893	0.051792	0.0495825	0.0518107	0.0526104	0.0575811	0.0543298	0.0468315	0.0457646	0.0446542	0.0487302
sample1000526	0.0697538	0.0710872	0.0706776	0.073014	0.0689046	0.0656977	0	0.0298826	0.0634825	0.0663876	0.0757764	0.0660848	0.0834395	0.0846824	0.074813	0.0689024	0.0818299	0.0733831	0.0699746	0.0779703	0.0666259	0.0735108	0.0666118	0.0662291	0.0735826	0.0817536	0.07494	0.0774473	0.0746089	0.08	0.0692308	0.0670807	0.0676179	0.0681818	0.0790725	0.0795869	0.0835544	0.0839793	0.0776637	0.0913706	0.0848823	0.0811856	0.0731857	0.0757946	0.0757576	0.0756193	0.0819462	0.0838396	0.0828295	0.0864799	0.084375	0.0728916	0.0729295	0.0799756	0.0871795	0.0761719	0.0757196	0.0788146	0.0807645	0.0734767	0.0739183	0.0790441	0.090216	0.0740514	0.0744934	0.0743056	0.0698529	0.069697	0.0840237	0.0844391
sample1000527	0.0456102	0.0464456	0.0430637	0.0627428	0.0411094	0.041884	0.0298826	0	0.0437831	0.0455105	0.0430904	0.0410643	0.0477749	0.0549786	0.047576	0.048048	0.0486337	0.0430809	0.0466287	0.0488801	0.046465	0.0482439	0.0556031	0.0453069	0.0468655	0.0457364	0.0439024	0.0413647	0.0449695	0.0489385	0.0479763	0.0442343	0.0440272	0.0501197	0.0508371	0.0458099	0.049435	0.0516535	0.0503043	0.0534445	0.0515171	0.0469208	0.0504032	0.0463259	0.0486756	0.052831	0.0522547	0.0490108	0.0518018	0.0523881	0.0509273	0.0490618	0.0461352	0.0467218	0.0459166	0.0470207	0.0477477	0.045725	0.0461847	0.0534831	0.0460931	0.0499099	0.0519647	0.0497182	0.0555306	0.0573678	0.0446823	0.0460762	0.0527473	0.0487395
sample1000535	0.0486674	0.0471879	0.0461083	0.0660161	0.0460811	0.0469914	0.0634825	0.0437831	0	0.00416516	0.0450068	0.0436663	0.0488699	0.0497604	0.0504909	0.0480442	0.0494943	0.0437767	0.049763	0.0503558	0.0502893	0.0466292	0.0596567	0.0471037	0.0535215	0.0436242	0.0461121	0.0528218	0.0486886	0.0515194	0.0497843	0.0429896	0.0463215	0.0501645	0.0544041	0.0471341	0.0550655	0.0577089	0.055404	0.0563168	0.0516547	0.0560122	0.0553547	0.0475829	0.052785	0.0579741	0.0523887	0.0507207	0.0561101	0.0551202	0.0505911	0.0523915	0.0526	0.0582335	0.0507682	0.0497301	0.0502979	0.0492183	0.0469658	0.0553833	0.0508917	0.0512422	0.0502324	0.0508475	0.0571049	0.0579096	0.0515261	0.0476264	0.0522663	0.0448759
sample1000539	0.0497523	0.0471469	0.045436	0.0658149	0.0429146	0.0475896	0.0663876	0.0455105	0.00416516	0	0.0490558	0.0487201	0.0469813	0.0510033	0.0464403	0.0438304	0.0458015	0.0420833	0.0485411	0.0537173	0.0489702	0.0461866	0.0565693	0.0503691	0.0555556	0.0462428	0.0426724	0.0535345	0.0500208	0.0534649	0.0506302	0.0457689	0.0466749	0.0492611	0.0550102	0.0496439	0.057363	0.0581897	0.0556813	0.056847	0.0534062	0.0548005	0.0536254	0.0521485	0.0529974	0.056902	0.0556723	0.0563956	0.0581729	0.0583402	0.0541841	0.0491294	0.0506143	0.0603015	0.0517316	0.0476744	0.0519031	0.0466999	0.0486859	0.051183	0.05041	0.0494387	0.0527827	0.0485547	0.0523342	0.0529595	0.0523104	0.0506599	0.0542045	0.0450337
sample1000546	0.0441542	0.0430337	0.0415317	0.0649677	0.047915	0.0394548	0.0757764	0.0430904	0.0450068	0.0490558	0	0.00319298	0.0438457	0.0447163	0.0529868	0.0577422	0.0512039	0.0498262	0.0527486	0.0415614	0.0470405	0.0466392	0.060515	0.0446184	0.0432255	0.0446404	0.0490628	0.039932	0.0401632	0.0514495	0.0487805	0.0389419	0.0420256	0.0410874	0.0449219	0.0473186	0.0496779	0.0478193	0.0547043	0.0468037	0.0471634	0.046003	0.062276	0.0501437	0.047243	0.0508021	0.0481459	0.045847	0.0430228	0.0457248	0.045957	0.0447589	0.0528103	0.0496454	0.0522682	0.0494874	0.049948	0.0489201	0.0472744	0.0600628	0.0520694	0.0576791	0.054494	0.0599839	0.0610517	0.0552181	0.047752	0.0437947	0.0466878	0.0498912
sample1000549	0.043713	0.0412452	0.0408311	0.0661926	0.0494127	0.0381566	0.0660848	0.0410643	0.0436663	0.0487201	0.00319298	0	0.0436562	0.0449669	0.0507321	0.054267	0.0493227	0.0490544	0.0506329	0.0414548	0.0457175	0.0458029	0.0563199	0.043789	0.0413324	0.0445253	0.0486905	0.0395683	0.0397689	0.0500808	0.0463586	0.0380693	0.0421477	0.0408186	0.0427755	0.0454916	0.0490726	0.0485516	0.0517724	0.0444642	0.045134	0.0450627	0.0588367	0.0475146	0.0477239	0.0485276	0.0479648	0.0463895	0.0435639	0.04609	0.0466129	0.0428094	0.0505596	0.047888	0.0509182	0.0506757	0.04795	0.0461809	0.0471163	0.0576659	0.0515002	0.054321	0.0515687	0.056874	0.0615942	0.0541968	0.04694	0.0416102	0.0461211	0.0491751
sample215	0.0486191	0.0482105	0.0490224	0.068076	0.0519853	0.042532	0.0834395	0.0477749	0.0488699	0.0469813	0.0438457	0.0436562	0	0.0320266	0.0479179	0.0458534	0.0427991	0.0463339	0.0476596	0.0463336	0.05312	0.0491319	0.057725	0.0509573	0.0473586	0.047503	0.0492149	0.0469176	0.0471494	0.0484316	0.0497885	0.045442	0.0467732	0.0428382	0.0437333	0.0486542	0.0504533	0.0509361	0.0486549	0.0473826	0.0466078	0.0466214	0.0510297	0.0507654	0.0535771	0.0479983	0.0484171	0.04811	0.0476443	0.0463836	0.0482294	0.044899	0.0521364	0.0503238	0.0509743	0.0461477	0.0490336	0.0450504	0.044343	0.0574032	0.0509322	0.0514464	0.0514191	0.0537923	0.0540293	0.0554299	0.0442209	0.0473891	0.0495277	0.0464845
sample216	0.0485179	0.0476138	0.0468449	0.0732805	0.0567642	0.0487593	0.0846824	0.0549786	0.0497604	0.0510033	0.0447163	0.0449669	0.0320266	0	0.0490196	0.0500639	0.0488819	0.048972	0.0498177	0.0458443	0.0497159	0.0510734	0.059727	0.046136	0.0460483	0.0485232	0.0530553	0.0446667	0.044833	0.0462904	0.0507485	0.0471321	0.0510397	0.0455819	0.0482371	0.0509149	0.0514871	0.0473625	0.0470784	0.0447697	0.0452882	0.0466014	0.0592194	0.0526619	0.0545952	0.0589922	0.0523748	0.0435205	0.0497646	0.0444775	0.0467541	0.0442584	0.0531401	0.0468646	0.0533981	0.046659	0.050323	0.0504311	0.0488584	0.0575492	0.0515327	0.0512069	0.057746	0.051731	0.054126	0.0584344	0.0473251	0.0490591	0.0493023	0.0521218
sample225	0.0539765	0.0537998	0.0518293	0.0722243	0.0496942	0.0505255	0.074813	0.047576	0.0504909	0.0464403	0.0529868	0.0507321	0.0479179	0.0490196	0	0.0426879	0.0327283	0.0290278	0.0468041	0.0469606	0.053616	0.0475515	0.0584746	0.0528011	0.0549547	0.0500139	0.0511853	0.05	0.0487897	0.0526404	0.0405364	0.0528745	0.0537214	0.0538691	0.0550346	0.0501645	0.0541131	0.0533197	0.0562977	0.0551544	0.0530263	0.0527333	0.0573485	0.0366158	0.038631	0.0453799	0.0554614	0.053721	0.0530433	0.0565671	0.0575416	0.0514724	0.054648	0.0529486	0.0546014	0.0559148	0.0515395	0.0478539	0.0488983	0.047891	0.0518503	0.0461564	0.0572454	0.0471884	0.0498025	0.0597098	0.0500773	0.0499287	0.0508146	0.0516616
sample226	0.0580948	0.05629	0.0515666	0.0696742	0.0492692	0.0542064	0.0689024	0.048048	0.0480442	0.0438304	0.0577422	0.054267	0.0458534	0.0500639	0.0426879	0	0.0323697	0.0351164	0.0538043	0.0559846	0.0555801	0.0533397	0.0666058	0.0577609	0.0561822	0.0533276	0.0532915	0.0540715	0.0581446	0.0552669	0.0513608	0.053284	0.0547046	0.054204	0.056359	0.0551709	0.0571306	0.0549692	0.0590005	0.0557709	0.0544619	0.0550377	0.0508346	0.0487959	0.0514161	0.0595869	0.0578674	0.0594271	0.0626891	0.064433	0.0629025	0.0546507	0.0550889	0.0546237	0.057053	0.0499276	0.055094	0.048203	0.0501964	0.0513834	0.0497172	0.0511566	0.0562613	0.0508912	0.0553589	0.059371	0.0530853	0.0565046	0.0613126	0.0488946
sample228	0.0555046	0.0550884	0.0491902	0.0719667	0.0474173	0.0512511	0.0818299	0.0486337	0.0494943	0.0458015	0.0512039	0.0493227	0.0427991	0.0488819	0.0327283	0.0323697	0	0.0328162	0.0530603	0.0535151	0.0537965	0.0502428	0.0549738	0.0548684	0.0513008	0.0452323	0.0477171	0.0520895	0.0508475	0.0545967	0.0520974	0.0527661	0.0515546	0.0539443	0.0508939	0.0517085	0.0522761	0.0560485	0.0546233	0.0551754	0.0523908	0.0507873	0.0566591	0.0527709	0.0549142	0.0563534	0.0551844	0.0547571	0.0567661	0.0550944	0.0570855	0.0534518	0.0509788	0.0527231	0.0510974	0.0498031	0.0525668	0.0447322	0.0427515	0.0554798	0.0509115	0.0512957	0.0531306	0.0498163	0.054451	0.0581128	0.0516831	0.0516914	0.058205	0.0462605
sample229	0.0530051	0.0535458	0.0514422	0.0733545	0.047619	0.0494539	0.0733831	0.0430809	0.0437767	0.0420833	0.0498262	0.0490544	0.0463339	0.048972	0.0290278	0.0351164	0.0328162	0	0.0469843	0.0495107	0.0544872	0.047272	0.0542373	0.0532761	0.0508302	0.0470893	0.0480876	0.0499561	0.0500734	0.0494996	0.0424924	0.0543865	0.054213	0.0501005	0.0548693	0.0449832	0.0532763	0.053837	0.051105	0.0536228	0.0511905	0.0500316	0.054513	0.0388906	0.039507	0.043515	0.0515553	0.0538199	0.0532281	0.0532276	0.0506166	0.050235	0.0510331	0.0530392	0.0515101	0.0515021	0.0508951	0.0473214	0.0496084	0.0513562	0.0468278	0.0469239	0.0508563	0.0451651	0.0533275	0.0487122	0.0516032	0.0495223	0.0520435	0.0459283
sample2304	0.0524194	0.0487409	0.0548002	0.0667825	0.0485685	0.0467463	0.0699746	0.0466287	0.049763	0.0485411	0.0527486	0.0506329	0.0476596	0.0498177	0.0468041	0.0538043	0.0530603	0.0469843	0	0.043032	0.041921	0.0355179	0.0405526	0.0456669	0.0502624	0.0461736	0.049609	0.0480098	0.0479592	0.0506475	0.0419031	0.0459226	0.0429064	0.0508337	0.0542845	0.0480525	0.0532595	0.0511387	0.0502212	0.0463305	0.0433893	0.0500215	0.00986526	0.0416846	0.0434501	0.0392857	0.052795	0.051828	0.0531697	0.0523089	0.0511637	0.0471246	0.0495972	0.0512085	0.0469891	0.0466567	0.0467877	0.0479307	0.0484671	0.0516775	0.0480398	0.0497199	0.0580614	0.0471746	0.0515659	0.0502283	0.0434211	0.048495	0.049455	0.0466274
sample2314	0.0445223	0.0439668	0.0450557	0.0673491	0.0497667	0.0436258	0.0779703	0.0488801	0.0503558	0.0537173	0.0415614	0.0414548	0.0463336	0.0458443	0.0469606	0.0559846	0.0535151	0.0495107	0.043032	0	0.0427486	0.0443081	0.0578374	0.0470129	0.0420996	0.0452024	0.0506375	0.043342	0.040645	0.0476115	0.048157	0.0442654	0.0488328	0.0434144	0.0456081	0.0468096	0.0477199	0.0464832	0.0516982	0.046595	0.0473934	0.0456969	0.0488281	0.0430275	0.0454416	0.0483741	0.0468387	0.0459482	0.0454928	0.0433243	0.0496023	0.0412041	0.0483512	0.0464457	0.0519417	0.0467791	0.0489534	0.0498438	0.0517819	0.0555313	0.0537797	0.0497436	0.0550105	0.0502355	0.0519281	0.0516232	0.0476396	0.0473278	0.043186	0.0474773
sample2317	0.0466059	0.0446855	0.0497613	0.072536	0.051045	0.0463504	0.0666259	0.046465	0.0502893	0.0489702	0.0470405	0.0457175	0.05312	0.0497159	0.053616	0.0555801	0.0537965	0.0544872	0.041921	0.0427486	0	0.0417254	0.0576256	0.0488366	0.0468784	0.0507426	0.0500369	0.0448649	0.0448829	0.0499031	0.0481582	0.0460236	0.0512169	0.0465604	0.0465787	0.0494621	0.0510686	0.0492895	0.054409	0.0488007	0.0506949	0.0471385	0.0478105	0.0460983	0.0461715	0.0523135	0.0467729	0.0489418	0.04588	0.0463	0.0480163	0.0410495	0.0497541	0.0453379	0.0528389	0.0499803	0.0513855	0.0489446	0.048437	0.05373	0.0514965	0.0499316	0.0577201	0.0501799	0.0540184	0.0580157	0.0460823	0.0466363	0.0462646	0.0550887
sample2325	0.0470526	0.0469912	0.0452756	0.0646214	0.0511953	0.0492035	0.0735108	0.0482439	0.0466292	0.0461866	0.0466392	0.0458029	0.0491319	0.0510734	0.0475515	0.0533397	0.0502428	0.047272	0.0355179	0.0443081	0.0417254	0	0.0120248	0.0468864	0.0469997	0.0449775	0.0470361	0.0492119	0.0430183	0.0472808	0.0436523	0.0440396	0.0464903	0.0479571	0.051188	0.0459089	0.0505181	0.0467805	0.0491611	0.047552	0.0448922	0.0459749	0.0400572	0.0416033	0.0399096	0.0415343	0.0515301	0.0484827	0.0470836	0.0489318	0.0486514	0.0437262	0.0467105	0.0489399	0.0469002	0.0478555	0.0478314	0.0518559	0.0479968	0.0538194	0.0481481	0.0481575	0.0569328	0.0491991	0.0517751	0.0489449	0.0422482	0.0444283	0.0463287	0.04907
